"size","sim","serie","p1","p2","p3"
100,1,"x1",29,23,10
100,1,"x2",25,24,19
100,1,"x3",24,20,13
100,1,"x4",1,0,0
100,1,"x5",11,1,0
100,1,"x6",2,1,0
100,1,"x7",12,1,0
100,1,"x8",7,0,0
100,1,"x9",1,0,0
100,1,"x10",29,21,17
100,1,"x11",23,0,0
100,1,"x12",30,29,28
100,1,"x13",24,4,3
100,1,"x14",12,4,0
100,2,"x1",27,25,16
100,2,"x2",20,2,1
100,2,"x3",27,26,19
100,2,"x4",4,1,0
100,2,"x5",26,2,1
100,2,"x6",5,4,1
100,2,"x7",1,0,0
100,2,"x8",30,1,0
100,2,"x9",30,28,20
100,2,"x10",28,27,24
100,2,"x11",27,26,24
100,2,"x12",28,20,19
100,2,"x13",4,2,1
100,2,"x14",29,0,0
100,3,"x1",29,24,17
100,3,"x2",28,27,7
100,3,"x3",22,19,15
100,3,"x4",1,0,0
100,3,"x5",28,1,0
100,3,"x6",2,1,0
100,3,"x7",12,1,0
100,3,"x8",24,21,8
100,3,"x9",14,12,5
100,3,"x10",1,0,0
100,3,"x11",26,18,0
100,3,"x12",6,1,0
100,3,"x13",24,18,13
100,3,"x14",21,14,9
100,4,"x1",30,22,21
100,4,"x2",27,0,0
100,4,"x3",19,18,17
100,4,"x4",22,11,1
100,4,"x5",19,1,0
100,4,"x6",3,1,0
100,4,"x7",27,16,1
100,4,"x8",24,15,0
100,4,"x9",20,16,10
100,4,"x10",11,0,0
100,4,"x11",22,16,13
100,4,"x12",27,26,24
100,4,"x13",25,23,22
100,4,"x14",14,0,0
100,5,"x1",18,11,0
100,5,"x2",29,1,0
100,5,"x3",19,1,0
100,5,"x4",23,1,0
100,5,"x5",1,0,0
100,5,"x6",2,1,0
100,5,"x7",26,16,15
100,5,"x8",15,3,0
100,5,"x9",24,1,0
100,5,"x10",24,0,0
100,5,"x11",30,7,6
100,5,"x12",29,1,0
100,5,"x13",14,13,3
100,5,"x14",29,26,15
100,6,"x1",20,16,10
100,6,"x2",25,12,8
100,6,"x3",25,24,12
100,6,"x4",29,2,1
100,6,"x5",16,6,1
100,6,"x6",2,1,0
100,6,"x7",28,8,1
100,6,"x8",24,22,8
100,6,"x9",29,26,0
100,6,"x10",15,7,0
100,6,"x11",19,0,0
100,6,"x12",12,1,0
100,6,"x13",27,18,17
100,6,"x14",30,23,10
100,7,"x1",30,6,0
100,7,"x2",25,1,0
100,7,"x3",26,24,11
100,7,"x4",16,1,0
100,7,"x5",29,2,1
100,7,"x6",29,2,1
100,7,"x7",9,1,0
100,7,"x8",24,0,0
100,7,"x9",9,0,0
100,7,"x10",28,7,3
100,7,"x11",22,0,0
100,7,"x12",26,20,15
100,7,"x13",24,6,4
100,7,"x14",24,20,17
100,8,"x1",24,21,19
100,8,"x2",26,1,0
100,8,"x3",29,26,13
100,8,"x4",15,10,1
100,8,"x5",4,1,0
100,8,"x6",3,2,1
100,8,"x7",5,4,1
100,8,"x8",24,23,20
100,8,"x9",25,0,0
100,8,"x10",28,13,0
100,8,"x11",30,19,1
100,8,"x12",2,1,0
100,8,"x13",24,21,17
100,8,"x14",16,11,7
100,9,"x1",25,20,19
100,9,"x2",14,1,0
100,9,"x3",16,1,0
100,9,"x4",9,1,0
100,9,"x5",1,0,0
100,9,"x6",3,2,1
100,9,"x7",9,1,0
100,9,"x8",24,22,16
100,9,"x9",2,0,0
100,9,"x10",24,23,14
100,9,"x11",7,0,0
100,9,"x12",17,7,4
100,9,"x13",17,8,7
100,9,"x14",4,0,0
100,10,"x1",30,27,8
100,10,"x2",23,14,11
100,10,"x3",22,19,15
100,10,"x4",26,1,0
100,10,"x5",7,1,0
100,10,"x6",15,2,1
100,10,"x7",7,1,0
100,10,"x8",25,22,9
100,10,"x9",8,7,5
100,10,"x10",22,19,2
100,10,"x11",26,1,0
100,10,"x12",21,19,14
100,10,"x13",29,21,18
100,10,"x14",27,23,19
100,11,"x1",30,17,16
100,11,"x2",23,19,18
100,11,"x3",22,13,1
100,11,"x4",24,5,1
100,11,"x5",15,2,1
100,11,"x6",3,2,1
100,11,"x7",12,2,1
100,11,"x8",20,0,0
100,11,"x9",19,0,0
100,11,"x10",8,1,0
100,11,"x11",12,9,1
100,11,"x12",12,1,0
