"size","sim","serie","p1","p2","p3"
100,1,"x1",21,1,0
100,1,"x2",1,0,0
100,1,"x3",3,0,0
100,1,"x4",25,0,0
100,1,"x5",16,3,0
100,1,"x6",25,8,2
100,1,"x7",11,4,2
100,1,"x8",25,21,20
100,1,"x9",22,14,5
100,1,"x10",23,22,14
100,1,"x11",0,0,0
100,1,"x12",0,0,0
100,1,"x13",0,0,0
100,1,"x14",29,25,17
100,2,"x1",25,6,4
100,2,"x2",4,3,0
100,2,"x3",0,0,0
100,2,"x4",0,0,0
100,2,"x5",26,3,1
100,2,"x6",4,0,0
100,2,"x7",11,1,0
100,2,"x8",1,0,0
100,2,"x9",11,2,0
100,2,"x10",23,11,3
100,2,"x11",0,0,0
100,2,"x12",23,0,0
100,2,"x13",1,0,0
100,2,"x14",2,0,0
100,3,"x1",27,3,0
100,3,"x2",0,0,0
100,3,"x3",3,0,0
100,3,"x4",28,24,4
100,3,"x5",0,0,0
100,3,"x6",3,2,0
100,3,"x7",1,0,0
100,3,"x8",29,7,1
100,3,"x9",18,16,11
100,3,"x10",23,6,4
100,3,"x11",26,23,9
100,3,"x12",0,0,0
100,3,"x13",0,0,0
100,3,"x14",3,2,0
100,4,"x1",3,0,0
100,4,"x2",0,0,0
100,4,"x3",5,4,3
100,4,"x4",1,0,0
100,4,"x5",19,6,3
100,4,"x6",29,0,0
100,4,"x7",1,0,0
100,4,"x8",9,8,2
100,4,"x9",23,18,0
100,4,"x10",19,18,16
100,4,"x11",14,0,0
100,4,"x12",0,0,0
100,4,"x13",0,0,0
100,4,"x14",21,2,0
100,5,"x1",23,17,10
100,5,"x2",0,0,0
100,5,"x3",0,0,0
100,5,"x4",26,23,15
100,5,"x5",11,8,3
100,5,"x6",28,27,2
100,5,"x7",1,0,0
100,5,"x8",2,1,0
100,5,"x9",15,11,3
100,5,"x10",11,8,7
100,5,"x11",9,0,0
100,5,"x12",0,0,0
100,5,"x13",1,0,0
100,5,"x14",2,0,0
100,6,"x1",5,4,3
100,6,"x2",0,0,0
100,6,"x3",0,0,0
100,6,"x4",10,0,0
100,6,"x5",17,16,0
100,6,"x6",0,0,0
100,6,"x7",2,1,0
100,6,"x8",12,10,2
100,6,"x9",22,11,1
100,6,"x10",22,20,11
100,6,"x11",27,26,19
100,6,"x12",0,0,0
100,6,"x13",0,0,0
100,6,"x14",19,10,9
100,7,"x1",3,0,0
100,7,"x2",16,0,0
100,7,"x3",0,0,0
100,7,"x4",17,16,0
100,7,"x5",18,0,0
100,7,"x6",2,0,0
100,7,"x7",2,1,0
100,7,"x8",25,2,1
100,7,"x9",26,11,10
100,7,"x10",27,21,16
100,7,"x11",11,10,0
100,7,"x12",28,0,0
100,7,"x13",0,0,0
100,7,"x14",2,0,0
100,8,"x1",0,0,0
100,8,"x2",1,0,0
100,8,"x3",6,5,4
100,8,"x4",13,0,0
100,8,"x5",24,0,0
100,8,"x6",2,0,0
100,8,"x7",2,1,0
100,8,"x8",29,17,2
100,8,"x9",21,0,0
100,8,"x10",21,19,6
100,8,"x11",23,3,0
100,8,"x12",0,0,0
100,8,"x13",1,0,0
100,8,"x14",22,2,0
100,9,"x1",3,0,0
100,9,"x2",25,0,0
100,9,"x3",29,3,0
100,9,"x4",5,0,0
100,9,"x5",19,0,0
100,9,"x6",2,0,0
100,9,"x7",1,0,0
100,9,"x8",2,1,0
100,9,"x9",29,0,0
100,9,"x10",4,3,2
100,9,"x11",23,7,0
100,9,"x12",10,0,0
100,9,"x13",0,0,0
100,9,"x14",13,2,0
100,10,"x1",4,3,0
100,10,"x2",0,0,0
100,10,"x3",4,3,2
100,10,"x4",20,19,0
100,10,"x5",12,2,1
100,10,"x6",17,12,0
100,10,"x7",1,0,0
100,10,"x8",24,14,2
100,10,"x9",11,1,0
100,10,"x10",23,3,2
100,10,"x11",15,8,0
100,10,"x12",20,19,0
100,10,"x13",0,0,0
100,10,"x14",29,28,22
100,11,"x1",25,4,3
100,11,"x2",1,0,0
100,11,"x3",25,16,5
100,11,"x4",0,0,0
100,11,"x5",9,0,0
100,11,"x6",29,2,0
100,11,"x7",2,1,0
100,11,"x8",2,1,0
100,11,"x9",19,11,9
100,11,"x10",28,27,11
100,11,"x11",28,0,0
100,11,"x12",0,0,0
100,11,"x13",0,0,0
100,11,"x14",3,2,0
100,12,"x1",3,2,1
100,12,"x2",1,0,0
100,12,"x3",3,0,0
100,12,"x4",25,18,0
100,12,"x5",3,0,0
100,12,"x6",7,4,2
100,12,"x7",0,0,0
100,12,"x8",2,1,0
100,12,"x9",11,1,0
100,12,"x10",11,3,2
100,12,"x11",11,0,0
100,12,"x12",0,0,0
100,12,"x13",0,0,0
100,12,"x14",0,0,0
100,13,"x1",3,0,0
100,13,"x2",0,0,0
100,13,"x3",0,0,0
100,13,"x4",15,0,0
100,13,"x5",21,20,7
100,13,"x6",26,7,4
100,13,"x7",7,1,0
100,13,"x8",17,2,1
100,13,"x9",9,8,1
100,13,"x10",29,22,13
100,13,"x11",13,11,0
100,13,"x12",15,14,13
100,13,"x13",0,0,0
100,13,"x14",22,0,0
100,14,"x1",29,15,4
100,14,"x2",1,0,0
100,14,"x3",28,23,6
100,14,"x4",26,23,0
100,14,"x5",3,0,0
100,14,"x6",2,0,0
100,14,"x7",1,0,0
100,14,"x8",2,1,0
100,14,"x9",23,0,0
100,14,"x10",23,20,6
100,14,"x11",20,0,0
100,14,"x12",0,0,0
100,14,"x13",22,2,1
100,14,"x14",21,18,5
100,15,"x1",2,0,0
100,15,"x2",1,0,0
100,15,"x3",0,0,0
100,15,"x4",16,14,0
100,15,"x5",9,8,4
100,15,"x6",16,0,0
100,15,"x7",2,1,0
100,15,"x8",10,2,1
100,15,"x9",29,10,9
100,15,"x10",10,7,5
100,15,"x11",13,2,0
100,15,"x12",29,0,0
100,15,"x13",2,1,0
100,15,"x14",0,0,0
100,16,"x1",3,1,0
100,16,"x2",1,0,0
100,16,"x3",0,0,0
100,16,"x4",19,0,0
100,16,"x5",29,22,6
100,16,"x6",0,0,0
100,16,"x7",1,0,0
100,16,"x8",25,1,0
100,16,"x9",24,19,13
100,16,"x10",23,19,18
100,16,"x11",26,0,0
100,16,"x12",0,0,0
100,16,"x13",0,0,0
100,16,"x14",2,0,0
100,17,"x1",26,3,0
100,17,"x2",16,0,0
100,17,"x3",7,5,4
100,17,"x4",28,25,9
100,17,"x5",29,9,1
100,17,"x6",5,2,0
100,17,"x7",3,2,1
100,17,"x8",29,17,2
100,17,"x9",24,17,14
100,17,"x10",23,1,0
100,17,"x11",0,0,0
100,17,"x12",0,0,0
100,17,"x13",0,0,0
100,17,"x14",26,0,0
100,18,"x1",3,2,0
100,18,"x2",18,0,0
100,18,"x3",3,0,0
100,18,"x4",0,0,0
100,18,"x5",0,0,0
100,18,"x6",24,0,0
100,18,"x7",1,0,0
100,18,"x8",18,1,0
100,18,"x9",21,13,0
100,18,"x10",21,4,3
100,18,"x11",21,3,0
100,18,"x12",18,17,16
100,18,"x13",2,0,0
100,18,"x14",2,0,0
100,19,"x1",25,24,15
100,19,"x2",0,0,0
100,19,"x3",0,0,0
100,19,"x4",0,0,0
100,19,"x5",23,20,19
100,19,"x6",2,0,0
100,19,"x7",2,1,0
100,19,"x8",1,0,0
100,19,"x9",15,11,8
100,19,"x10",23,15,12
100,19,"x11",22,17,0
100,19,"x12",0,0,0
100,19,"x13",0,0,0
100,19,"x14",9,2,0
100,20,"x1",4,3,0
100,20,"x2",24,17,1
100,20,"x3",0,0,0
100,20,"x4",26,19,0
100,20,"x5",28,3,0
100,20,"x6",0,0,0
100,20,"x7",1,0,0
100,20,"x8",2,1,0
100,20,"x9",27,11,0
100,20,"x10",10,3,2
100,20,"x11",15,12,0
100,20,"x12",15,0,0
100,20,"x13",0,0,0
100,20,"x14",18,0,0
100,21,"x1",3,0,0
100,21,"x2",22,7,0
