"size","sim","serie","p1","p2","p3"
100,1,"x1",20,17,3
100,1,"x2",29,16,5
100,1,"x3",29,24,23
100,1,"x4",25,11,3
100,1,"x5",29,16,3
100,1,"x6",25,18,12
100,1,"x7",10,1,0
100,1,"x8",25,21,3
100,1,"x9",22,11,8
100,1,"x10",25,23,22
100,1,"x11",26,11,0
100,1,"x12",12,7,6
100,1,"x13",29,26,18
100,1,"x14",28,25,17
100,2,"x1",28,25,3
100,2,"x2",24,20,3
100,2,"x3",26,2,1
100,2,"x4",29,13,12
100,2,"x5",16,3,1
100,2,"x6",26,3,0
100,2,"x7",28,13,0
100,2,"x8",26,19,3
100,2,"x9",23,21,12
100,2,"x10",23,14,9
100,2,"x11",11,0,0
100,2,"x12",27,24,22
100,2,"x13",25,10,3
100,2,"x14",2,0,0
100,3,"x1",26,25,13
100,3,"x2",25,20,13
100,3,"x3",2,1,0
100,3,"x4",29,28,25
100,3,"x5",0,0,0
100,3,"x6",29,21,19
100,3,"x7",14,0,0
100,3,"x8",25,24,6
100,3,"x9",23,18,16
100,3,"x10",23,6,3
100,3,"x11",29,26,15
100,3,"x12",7,3,1
100,3,"x13",28,11,3
100,3,"x14",27,7,2
100,4,"x1",3,1,0
100,4,"x2",26,14,10
100,4,"x3",26,25,17
100,4,"x4",28,25,23
100,4,"x5",19,4,0
100,4,"x6",29,26,16
100,4,"x7",1,0,0
100,4,"x8",24,16,14
100,4,"x9",23,18,10
100,4,"x10",24,17,16
100,4,"x11",23,18,0
100,4,"x12",28,27,26
100,4,"x13",13,3,1
100,4,"x14",2,0,0
100,5,"x1",23,17,10
100,5,"x2",25,12,3
100,5,"x3",23,19,14
100,5,"x4",29,26,23
100,5,"x5",28,23,11
100,5,"x6",27,2,0
100,5,"x7",9,8,0
100,5,"x8",29,28,26
100,5,"x9",17,11,3
100,5,"x10",23,10,8
100,5,"x11",28,23,11
100,5,"x12",28,27,26
100,5,"x13",3,1,0
100,5,"x14",23,2,0
100,6,"x1",20,11,4
100,6,"x2",27,2,0
100,6,"x3",22,4,3
100,6,"x4",22,0,0
100,6,"x5",26,17,16
100,6,"x6",27,20,10
100,6,"x7",27,22,14
100,6,"x8",28,1,0
100,6,"x9",29,22,8
100,6,"x10",29,22,17
100,6,"x11",23,11,0
100,6,"x12",17,13,10
100,6,"x13",27,24,18
100,6,"x14",29,26,19
100,7,"x1",20,3,1
100,7,"x2",16,3,2
100,7,"x3",2,1,0
100,7,"x4",15,3,0
100,7,"x5",18,13,6
100,7,"x6",21,8,3
100,7,"x7",29,0,0
100,7,"x8",27,25,23
100,7,"x9",26,15,11
100,7,"x10",24,19,16
100,7,"x11",27,9,0
100,7,"x12",28,27,25
100,7,"x13",27,26,23
100,7,"x14",29,27,25
100,8,"x1",2,0,0
100,8,"x2",10,6,3
100,8,"x3",25,21,17
100,8,"x4",28,20,19
100,8,"x5",24,23,20
100,8,"x6",9,7,0
100,8,"x7",23,0,0
100,8,"x8",28,22,20
100,8,"x9",21,0,0
100,8,"x10",19,12,9
100,8,"x11",24,23,19
100,8,"x12",20,14,2
100,8,"x13",17,3,1
100,8,"x14",22,2,0
100,9,"x1",2,1,0
100,9,"x2",20,3,0
100,9,"x3",29,27,21
100,9,"x4",21,1,0
100,9,"x5",0,0,0
100,9,"x6",26,24,20
100,9,"x7",26,19,1
100,9,"x8",22,20,2
100,9,"x9",29,28,1
100,9,"x10",29,23,14
100,9,"x11",23,11,1
100,9,"x12",27,24,21
100,9,"x13",26,15,14
100,9,"x14",25,12,2
100,10,"x1",29,22,19
100,10,"x2",29,28,27
100,10,"x3",28,20,18
100,10,"x4",20,19,16
100,10,"x5",24,12,2
100,10,"x6",17,12,0
100,10,"x7",28,15,14
100,10,"x8",23,14,12
100,10,"x9",23,20,11
100,10,"x10",23,17,16
100,10,"x11",27,15,0
100,10,"x12",19,4,1
100,10,"x13",27,18,14
100,10,"x14",28,13,0
100,11,"x1",28,26,25
100,11,"x2",28,25,23
100,11,"x3",26,23,14
100,11,"x4",28,25,24
100,11,"x5",9,0,0
100,11,"x6",29,28,22
100,11,"x7",0,0,0
100,11,"x8",28,25,1
100,11,"x9",25,11,8
100,11,"x10",28,26,24
100,11,"x11",29,27,0
100,11,"x12",5,1,0
100,11,"x13",3,1,0
100,11,"x14",2,0,0
100,12,"x1",29,27,8
100,12,"x2",28,23,10
100,12,"x3",29,23,3
100,12,"x4",29,13,9
100,12,"x5",3,0,0
100,12,"x6",29,17,14
100,12,"x7",8,7,0
100,12,"x8",28,25,1
100,12,"x9",27,26,23
100,12,"x10",29,27,24
100,12,"x11",23,0,0
100,12,"x12",10,1,0
100,12,"x13",27,3,2
100,12,"x14",26,25,2
100,13,"x1",26,1,0
100,13,"x2",25,19,12
100,13,"x3",22,14,7
100,13,"x4",20,15,13
100,13,"x5",21,20,18
100,13,"x6",26,7,3
100,13,"x7",28,19,4
100,13,"x8",29,28,26
100,13,"x9",27,20,8
100,13,"x10",29,22,14
100,13,"x11",23,0,0
100,13,"x12",13,2,1
100,13,"x13",28,23,3
100,13,"x14",29,22,6
100,14,"x1",28,15,3
100,14,"x2",19,2,0
100,14,"x3",27,21,17
100,14,"x4",26,23,17
100,14,"x5",29,27,23
100,14,"x6",27,13,1
100,14,"x7",27,16,5
100,14,"x8",27,26,25
100,14,"x9",25,23,20
100,14,"x10",24,20,19
100,14,"x11",11,0,0
100,14,"x12",28,19,15
100,14,"x13",22,19,6
100,14,"x14",21,18,12
100,15,"x1",3,2,0
100,15,"x2",4,2,0
100,15,"x3",27,11,6
100,15,"x4",28,13,11
100,15,"x5",9,8,4
100,15,"x6",19,16,3
100,15,"x7",29,26,21
100,15,"x8",23,9,1
100,15,"x9",29,28,12
100,15,"x10",25,8,7
100,15,"x11",23,0,0
100,15,"x12",25,24,1
100,15,"x13",1,0,0
100,15,"x14",29,0,0
100,16,"x1",17,3,2
100,16,"x2",26,5,3
100,16,"x3",28,21,10
100,16,"x4",23,20,18
100,16,"x5",29,22,6
100,16,"x6",29,27,23
100,16,"x7",25,12,1
100,16,"x8",25,24,6
100,16,"x9",25,23,19
100,16,"x10",23,22,21
100,16,"x11",29,26,0
100,16,"x12",28,12,1
100,16,"x13",28,12,3
100,16,"x14",22,4,2
100,17,"x1",26,3,1
100,17,"x2",24,23,16
100,17,"x3",26,7,5
100,17,"x4",25,0,0
100,17,"x5",29,25,17
