"size","sim","serie","p1","p2","p3"
100,1,"x1",4,2,1
100,1,"x2",6,4,2
100,1,"x3",2,1,0
100,1,"x4",12,1,0
100,1,"x5",4,1,0
100,1,"x6",2,1,0
100,1,"x7",11,2,1
100,1,"x8",4,3,2
100,1,"x9",7,2,1
100,1,"x10",21,10,7
100,1,"x11",12,0,0
100,1,"x12",7,1,0
100,1,"x13",1,0,0
100,1,"x14",26,2,1
100,2,"x1",26,4,2
100,2,"x2",4,1,0
100,2,"x3",1,0,0
100,2,"x4",1,0,0
100,2,"x5",4,2,0
100,2,"x6",5,4,1
100,2,"x7",1,0,0
100,2,"x8",21,20,2
100,2,"x9",12,1,0
100,2,"x10",24,10,4
100,2,"x11",12,0,0
100,2,"x12",2,1,0
100,2,"x13",2,1,0
100,2,"x14",3,1,0
100,3,"x1",27,14,4
100,3,"x2",3,1,0
100,3,"x3",2,1,0
100,3,"x4",1,0,0
100,3,"x5",0,0,0
100,3,"x6",4,3,0
100,3,"x7",15,1,0
100,3,"x8",25,3,2
100,3,"x9",3,2,1
100,3,"x10",24,7,4
100,3,"x11",3,1,0
100,3,"x12",2,1,0
100,3,"x13",1,0,0
100,3,"x14",28,8,3
100,4,"x1",4,2,1
100,4,"x2",11,1,0
100,4,"x3",4,3,2
100,4,"x4",1,0,0
100,4,"x5",20,7,5
100,4,"x6",1,0,0
100,4,"x7",2,1,0
100,4,"x8",9,2,1
100,4,"x9",24,19,2
100,4,"x10",18,17,8
100,4,"x11",19,0,0
100,4,"x12",2,1,0
100,4,"x13",4,2,1
100,4,"x14",3,1,0
100,5,"x1",18,11,3
100,5,"x2",13,4,3
100,5,"x3",23,7,4
100,5,"x4",2,1,0
100,5,"x5",4,2,1
100,5,"x6",28,3,1
100,5,"x7",1,0,0
100,5,"x8",3,2,1
100,5,"x9",12,4,1
100,5,"x10",24,9,8
100,5,"x11",29,24,12
100,5,"x12",2,1,0
100,5,"x13",1,0,0
100,5,"x14",3,1,0
100,6,"x1",5,4,3
100,6,"x2",1,0,0
100,6,"x3",2,1,0
100,6,"x4",1,0,0
100,6,"x5",0,0,0
100,6,"x6",3,2,1
100,6,"x7",15,1,0
100,6,"x8",2,1,0
100,6,"x9",23,5,2
100,6,"x10",17,10,9
100,6,"x11",24,12,0
100,6,"x12",7,2,1
100,6,"x13",2,1,0
100,6,"x14",20,11,10
100,7,"x1",4,2,1
100,7,"x2",17,4,3
100,7,"x3",3,2,1
100,7,"x4",4,1,0
100,7,"x5",0,0,0
100,7,"x6",1,0,0
100,7,"x7",30,1,0
100,7,"x8",28,24,4
100,7,"x9",11,2,1
100,7,"x10",16,8,2
100,7,"x11",1,0,0
100,7,"x12",2,1,0
100,7,"x13",4,2,1
100,7,"x14",23,18,3
100,8,"x1",3,1,0
100,8,"x2",11,7,4
100,8,"x3",4,3,2
100,8,"x4",2,1,0
100,8,"x5",0,0,0
100,8,"x6",10,8,1
100,8,"x7",1,0,0
100,8,"x8",2,1,0
100,8,"x9",1,0,0
100,8,"x10",7,5,4
100,8,"x11",25,24,20
100,8,"x12",3,2,1
100,8,"x13",4,2,1
100,8,"x14",3,1,0
100,9,"x1",4,3,1
100,9,"x2",21,4,1
100,9,"x3",30,3,2
100,9,"x4",1,0,0
100,9,"x5",0,0,0
100,9,"x6",1,0,0
100,9,"x7",2,1,0
100,9,"x8",2,1,0
100,9,"x9",2,1,0
100,9,"x10",24,8,5
100,9,"x11",24,12,2
100,9,"x12",22,10,4
100,9,"x13",1,0,0
100,9,"x14",13,3,1
100,10,"x1",23,8,7
100,10,"x2",30,16,4
100,10,"x3",4,3,2
100,10,"x4",0,0,0
100,10,"x5",3,2,1
100,10,"x6",18,13,1
100,10,"x7",15,1,0
100,10,"x8",15,13,2
100,10,"x9",12,2,1
100,10,"x10",6,4,2
100,10,"x11",0,0,0
100,10,"x12",20,2,1
100,10,"x13",1,0,0
100,10,"x14",1,0,0
100,11,"x1",27,4,3
100,11,"x2",1,0,0
100,11,"x3",1,0,0
100,11,"x4",1,0,0
100,11,"x5",0,0,0
100,11,"x6",2,1,0
100,11,"x7",1,0,0
100,11,"x8",2,1,0
100,11,"x9",12,9,5
100,11,"x10",17,16,13
100,11,"x11",0,0,0
100,11,"x12",6,2,1
100,11,"x13",1,0,0
100,11,"x14",3,1,0
100,12,"x1",9,3,2
100,12,"x2",11,5,1
100,12,"x3",4,3,2
100,12,"x4",0,0,0
100,12,"x5",0,0,0
100,12,"x6",15,5,3
100,12,"x7",8,1,0
100,12,"x8",2,1,0
100,12,"x9",12,4,2
100,12,"x10",10,6,4
100,12,"x11",24,0,0
100,12,"x12",2,1,0
100,12,"x13",4,2,1
100,12,"x14",3,2,1
100,13,"x1",2,1,0
100,13,"x2",3,1,0
100,13,"x3",2,1,0
100,13,"x4",16,1,0
100,13,"x5",21,8,0
100,13,"x6",8,4,3
100,13,"x7",8,5,2
100,13,"x8",4,3,2
100,13,"x9",9,7,5
100,13,"x10",9,4,2
100,13,"x11",24,0,0
100,13,"x12",14,2,1
100,13,"x13",16,2,1
100,13,"x14",1,0,0
100,14,"x1",5,4,2
100,14,"x2",3,1,0
100,14,"x3",1,0,0
100,14,"x4",1,0,0
100,14,"x5",4,1,0
100,14,"x6",3,2,0
100,14,"x7",17,6,2
100,14,"x8",28,3,2
100,14,"x9",26,2,1
100,14,"x10",21,20,19
100,14,"x11",12,1,0
100,14,"x12",3,2,1
100,14,"x13",1,0,0
100,14,"x14",22,19,6
100,15,"x1",4,3,1
100,15,"x2",5,3,1
100,15,"x3",1,0,0
100,15,"x4",0,0,0
100,15,"x5",9,5,4
100,15,"x6",17,1,0
100,15,"x7",27,6,1
100,15,"x8",24,2,1
100,15,"x9",11,10,2
100,15,"x10",8,5,4
100,15,"x11",0,0,0
100,15,"x12",2,1,0
100,15,"x13",1,0,0
100,15,"x14",1,0,0
100,16,"x1",3,2,1
100,16,"x2",6,2,1
100,16,"x3",3,2,1
100,16,"x4",2,1,0
100,16,"x5",30,4,0
100,16,"x6",1,0,0
100,16,"x7",13,1,0
100,16,"x8",25,7,3
100,16,"x9",20,13,11
100,16,"x10",16,14,13
100,16,"x11",27,1,0
100,16,"x12",13,2,1
100,16,"x13",4,2,1
100,16,"x14",3,1,0
100,17,"x1",4,2,1
100,17,"x2",17,1,0
100,17,"x3",1,0,0
100,17,"x4",0,0,0
100,17,"x5",4,2,1
100,17,"x6",0,0,0
100,17,"x7",10,2,1
100,17,"x8",17,2,1
100,17,"x9",15,12,2
100,17,"x10",24,23,6
100,17,"x11",1,0,0
100,17,"x12",2,1,0
100,17,"x13",2,1,0
100,17,"x14",27,3,1
100,18,"x1",3,1,0
100,18,"x2",18,9,3
100,18,"x3",2,1,0
100,18,"x4",17,1,0
100,18,"x5",0,0,0
100,18,"x6",3,2,1
100,18,"x7",3,1,0
100,18,"x8",3,2,1
100,18,"x9",10,9,1
100,18,"x10",24,10,8
100,18,"x11",25,0,0
100,18,"x12",17,3,2
100,18,"x13",1,0,0
100,18,"x14",3,1,0
100,19,"x1",3,2,1
100,19,"x2",7,3,1
100,19,"x3",2,1,0
100,19,"x4",1,0,0
100,19,"x5",21,6,2
100,19,"x6",3,1,0
100,19,"x7",2,1,0
100,19,"x8",3,2,1
100,19,"x9",12,9,2
100,19,"x10",13,9,7
100,19,"x11",0,0,0
100,19,"x12",2,1,0
100,19,"x13",2,1,0
100,19,"x14",27,3,1
100,20,"x1",3,2,1
100,20,"x2",4,3,1
100,20,"x3",1,0,0
100,20,"x4",1,0,0
100,20,"x5",4,0,0
100,20,"x6",2,1,0
100,20,"x7",1,0,0
100,20,"x8",2,1,0
100,20,"x9",12,10,2
100,20,"x10",14,11,10
100,20,"x11",20,0,0
100,20,"x12",2,1,0
100,20,"x13",1,0,0
100,20,"x14",1,0,0
100,21,"x1",4,1,0
100,21,"x2",8,5,4
100,21,"x3",1,0,0
100,21,"x4",1,0,0
100,21,"x5",12,2,0
100,21,"x6",3,1,0
100,21,"x7",1,0,0
100,21,"x8",3,2,1
100,21,"x9",18,12,11
100,21,"x10",10,9,7
100,21,"x11",0,0,0
100,21,"x12",2,1,0
100,21,"x13",1,0,0
100,21,"x14",6,3,1
100,22,"x1",10,4,2
100,22,"x2",27,3,1
100,22,"x3",3,2,1
100,22,"x4",1,0,0
100,22,"x5",4,0,0
100,22,"x6",2,1,0
100,22,"x7",1,0,0
100,22,"x8",4,2,1
100,22,"x9",24,14,13
100,22,"x10",26,25,24
100,22,"x11",5,0,0
100,22,"x12",8,2,1
100,22,"x13",1,0,0
100,22,"x14",3,1,0
100,23,"x1",25,4,2
100,23,"x2",3,1,0
100,23,"x3",2,1,0
100,23,"x4",0,0,0
100,23,"x5",0,0,0
100,23,"x6",1,0,0
100,23,"x7",1,0,0
100,23,"x8",30,2,1
100,23,"x9",24,5,1
100,23,"x10",22,13,9
100,23,"x11",24,22,10
100,23,"x12",24,2,1
100,23,"x13",1,0,0
100,23,"x14",3,1,0
100,24,"x1",12,4,3
100,24,"x2",12,3,1
100,24,"x3",2,1,0
100,24,"x4",1,0,0
100,24,"x5",5,0,0
100,24,"x6",1,0,0
