"size","sim","serie","p1","p2","p3"
100,1,"x1",21,17,1
100,1,"x2",29,5,3
100,1,"x3",24,2,1
100,1,"x4",25,11,0
100,1,"x5",29,16,3
100,1,"x6",25,5,2
100,1,"x7",19,11,1
100,1,"x8",29,25,20
100,1,"x9",28,22,14
100,1,"x10",25,22,20
100,1,"x11",29,19,0
100,1,"x12",24,7,6
100,1,"x13",29,25,15
100,1,"x14",29,25,17
100,2,"x1",28,25,6
100,2,"x2",20,6,4
100,2,"x3",2,1,0
100,2,"x4",10,0,0
100,2,"x5",26,15,3
100,2,"x6",26,19,3
100,2,"x7",28,17,13
100,2,"x8",22,18,14
100,2,"x9",21,14,10
100,2,"x10",23,14,9
100,2,"x11",21,0,0
100,2,"x12",22,21,14
100,2,"x13",12,1,0
100,2,"x14",17,2,0
100,3,"x1",26,25,13
100,3,"x2",26,20,16
100,3,"x3",2,1,0
100,3,"x4",29,28,23
100,3,"x5",0,0,0
100,3,"x6",12,8,2
100,3,"x7",14,0,0
100,3,"x8",2,1,0
100,3,"x9",23,22,16
100,3,"x10",23,21,6
100,3,"x11",26,23,9
100,3,"x12",19,14,1
100,3,"x13",19,12,4
100,3,"x14",27,7,2
100,4,"x1",3,0,0
100,4,"x2",26,14,0
100,4,"x3",20,18,13
100,4,"x4",26,23,0
100,4,"x5",19,0,0
100,4,"x6",29,16,5
100,4,"x7",27,23,20
100,4,"x8",29,16,14
100,4,"x9",23,18,10
100,4,"x10",24,19,16
100,4,"x11",25,14,0
100,4,"x12",28,22,15
100,4,"x13",26,24,3
100,4,"x14",2,0,0
100,5,"x1",25,23,17
100,5,"x2",25,11,2
100,5,"x3",20,18,2
100,5,"x4",26,23,15
100,5,"x5",28,11,8
100,5,"x6",27,3,2
100,5,"x7",29,8,0
100,5,"x8",1,0,0
100,5,"x9",11,3,0
100,5,"x10",23,11,8
100,5,"x11",9,7,0
100,5,"x12",28,18,12
100,5,"x13",29,26,9
100,5,"x14",13,5,2
100,6,"x1",29,25,20
100,6,"x2",27,0,0
100,6,"x3",24,2,1
100,6,"x4",26,9,0
100,6,"x5",26,17,16
100,6,"x6",25,3,2
100,6,"x7",22,6,5
100,6,"x8",28,11,9
100,6,"x9",27,22,8
100,6,"x10",20,17,9
100,6,"x11",26,22,19
100,6,"x12",27,25,6
100,6,"x13",24,22,18
100,6,"x14",29,26,19
100,7,"x1",20,3,1
100,7,"x2",22,16,3
100,7,"x3",29,8,2
100,7,"x4",15,12,3
100,7,"x5",18,13,0
100,7,"x6",3,2,0
100,7,"x7",29,2,0
100,7,"x8",27,25,20
100,7,"x9",26,15,11
100,7,"x10",27,26,21
100,7,"x11",11,10,0
100,7,"x12",28,23,17
100,7,"x13",27,23,11
100,7,"x14",28,22,17
100,8,"x1",2,0,0
100,8,"x2",26,10,3
100,8,"x3",27,14,5
100,8,"x4",13,0,0
100,8,"x5",20,4,0
100,8,"x6",9,2,0
100,8,"x7",23,1,0
100,8,"x8",29,16,1
100,8,"x9",29,24,21
100,8,"x10",23,19,12
100,8,"x11",29,26,23
100,8,"x12",28,14,2
100,8,"x13",15,13,3
100,8,"x14",27,16,2
100,9,"x1",24,3,0
100,9,"x2",25,0,0
100,9,"x3",29,26,24
100,9,"x4",16,14,5
100,9,"x5",0,0,0
100,9,"x6",29,21,20
100,9,"x7",23,19,1
100,9,"x8",29,26,1
100,9,"x9",29,1,0
100,9,"x10",22,4,3
100,9,"x11",26,23,0
100,9,"x12",26,21,10
100,9,"x13",17,3,1
100,9,"x14",25,13,12
100,10,"x1",22,21,19
100,10,"x2",29,27,24
100,10,"x3",28,17,2
100,10,"x4",20,19,16
100,10,"x5",12,2,1
100,10,"x6",23,17,12
100,10,"x7",28,24,15
100,10,"x8",23,14,12
100,10,"x9",20,11,1
100,10,"x10",23,12,3
100,10,"x11",29,22,15
100,10,"x12",19,1,0
100,10,"x13",27,22,21
100,10,"x14",29,28,22
100,11,"x1",26,25,16
100,11,"x2",28,23,9
100,11,"x3",29,24,22
100,11,"x4",28,23,4
100,11,"x5",0,0,0
100,11,"x6",29,13,2
100,11,"x7",0,0,0
100,11,"x8",28,1,0
100,11,"x9",19,11,9
100,11,"x10",28,24,16
100,11,"x11",29,28,27
100,11,"x12",29,5,1
100,11,"x13",29,23,3
100,11,"x14",25,17,2
100,12,"x1",2,1,0
100,12,"x2",10,0,0
100,12,"x3",28,24,6
100,12,"x4",25,24,18
100,12,"x5",0,0,0
100,12,"x6",29,18,14
100,12,"x7",7,0,0
100,12,"x8",18,1,0
100,12,"x9",27,11,9
100,12,"x10",24,21,11
100,12,"x11",27,24,22
100,12,"x12",1,0,0
100,12,"x13",26,24,21
100,12,"x14",2,1,0
100,13,"x1",1,0,0
100,13,"x2",26,25,17
100,13,"x3",23,18,14
100,13,"x4",15,13,0
