"size","sim","serie","p1","p2","p3"
100,1,"x1",19,1,0
100,1,"x2",1,0,0
100,1,"x3",3,2,1
100,1,"x4",5,1,0
100,1,"x5",3,1,0
100,1,"x6",0,0,0
100,1,"x7",2,1,0
100,1,"x8",5,3,2
100,1,"x9",13,11,7
100,1,"x10",9,8,5
100,1,"x11",12,0,0
100,1,"x12",3,2,1
100,1,"x13",2,1,0
100,1,"x14",5,3,1
100,2,"x1",1,0,0
100,2,"x2",29,3,1
100,2,"x3",3,2,1
100,2,"x4",2,0,0
100,2,"x5",22,3,1
100,2,"x6",3,1,0
100,2,"x7",24,10,1
100,2,"x8",3,2,1
100,2,"x9",12,5,2
100,2,"x10",24,6,5
100,2,"x11",2,0,0
100,2,"x12",2,1,0
100,2,"x13",1,0,0
100,2,"x14",29,3,1
100,3,"x1",5,4,3
100,3,"x2",24,23,17
100,3,"x3",13,8,3
100,3,"x4",1,0,0
100,3,"x5",23,0,0
100,3,"x6",1,0,0
100,3,"x7",2,1,0
100,3,"x8",7,3,2
100,3,"x9",4,1,0
100,3,"x10",24,20,9
100,3,"x11",24,12,0
100,3,"x12",3,2,1
100,3,"x13",4,2,1
100,3,"x14",18,9,7
100,4,"x1",1,0,0
100,4,"x2",4,1,0
100,4,"x3",3,2,1
100,4,"x4",2,0,0
100,4,"x5",4,2,0
100,4,"x6",3,2,0
100,4,"x7",9,1,0
100,4,"x8",15,4,2
100,4,"x9",11,5,3
100,4,"x10",24,13,12
100,4,"x11",24,1,0
100,4,"x12",30,5,2
100,4,"x13",1,0,0
100,4,"x14",3,1,0
100,5,"x1",4,3,1
100,5,"x2",6,1,0
100,5,"x3",9,8,3
100,5,"x4",1,0,0
100,5,"x5",0,0,0
100,5,"x6",15,12,3
100,5,"x7",1,0,0
100,5,"x8",20,8,2
100,5,"x9",1,0,0
100,5,"x10",13,2,1
100,5,"x11",0,0,0
100,5,"x12",1,0,0
100,5,"x13",4,2,1
100,5,"x14",3,1,0
100,6,"x1",4,3,2
100,6,"x2",4,2,1
100,6,"x3",3,2,1
100,6,"x4",0,0,0
100,6,"x5",4,2,0
100,6,"x6",0,0,0
100,6,"x7",1,0,0
100,6,"x8",13,3,2
100,6,"x9",20,9,8
100,6,"x10",24,19,18
100,6,"x11",0,0,0
100,6,"x12",9,2,1
100,6,"x13",1,0,0
100,6,"x14",9,3,1
100,7,"x1",18,2,1
100,7,"x2",5,3,2
100,7,"x3",3,2,1
100,7,"x4",3,2,1
100,7,"x5",0,0,0
100,7,"x6",1,0,0
100,7,"x7",1,0,0
100,7,"x8",2,1,0
100,7,"x9",12,1,0
100,7,"x10",7,6,5
100,7,"x11",12,0,0
100,7,"x12",3,2,1
100,7,"x13",1,0,0
100,7,"x14",13,1,0
100,8,"x1",5,4,1
100,8,"x2",24,4,3
100,8,"x3",2,1,0
100,8,"x4",4,3,1
100,8,"x5",26,4,2
100,8,"x6",1,0,0
100,8,"x7",1,0,0
100,8,"x8",2,1,0
100,8,"x9",20,13,12
100,8,"x10",24,16,10
100,8,"x11",4,3,1
100,8,"x12",26,17,3
100,8,"x13",1,0,0
100,8,"x14",3,1,0
100,9,"x1",4,2,1
100,9,"x2",19,16,11
100,9,"x3",3,2,1
100,9,"x4",1,0,0
100,9,"x5",9,8,4
100,9,"x6",30,25,4
100,9,"x7",30,21,2
100,9,"x8",2,1,0
100,9,"x9",12,3,2
100,9,"x10",10,6,5
100,9,"x11",4,1,0
100,9,"x12",2,1,0
100,9,"x13",2,1,0
100,9,"x14",28,1,0
100,10,"x1",1,0,0
100,10,"x2",1,0,0
100,10,"x3",3,2,1
100,10,"x4",1,0,0
100,10,"x5",6,0,0
100,10,"x6",1,0,0
100,10,"x7",1,0,0
100,10,"x8",8,4,2
100,10,"x9",24,16,12
100,10,"x10",27,16,12
100,10,"x11",24,6,2
100,10,"x12",22,2,1
100,10,"x13",1,0,0
100,10,"x14",3,1,0
100,11,"x1",13,3,1
100,11,"x2",3,1,0
100,11,"x3",2,1,0
100,11,"x4",0,0,0
100,11,"x5",20,4,0
100,11,"x6",0,0,0
