"Size","Serie","name_serie","Coefficient","Error","Estimator","Value"
100,"x1","AR(5)","Pearson","RMSE","p1",18.6221642136461
100,"x1","AR(5)","Pearson","RMSE","p2",13.3169065476934
100,"x1","AR(5)","Pearson","RMSE","p3",8.09289812119243
100,"x10","SARIMA(4,0,0) × (2,0,0)[12] 
Additive decomposition","Pearson","RMSE","p1",3.7841775856849
100,"x10","SARIMA(4,0,0) × (2,0,0)[12] 
Additive decomposition","Pearson","RMSE","p2",6.41404708432983
100,"x10","SARIMA(4,0,0) × (2,0,0)[12] 
Additive decomposition","Pearson","RMSE","p3",9.84403372606982
100,"x11","SARIMA(4,0,0) × (2,0,0)[12] 
 Multiplicative decomposition","Pearson","RMSE","p1",8.91711836862111
100,"x11","SARIMA(4,0,0) × (2,0,0)[12] 
 Multiplicative decomposition","Pearson","RMSE","p2",15.7511904312023
100,"x11","SARIMA(4,0,0) × (2,0,0)[12] 
 Multiplicative decomposition","Pearson","RMSE","p3",20.5732836465159
100,"x12","ARMA(1,0,1)-GARCH(1,1)","Pearson","RMSE","p1",22.3824708198179
100,"x12","ARMA(1,0,1)-GARCH(1,1)","Pearson","RMSE","p2",16.4968178749721
100,"x12","ARMA(1,0,1)-GARCH(1,1)","Pearson","RMSE","p3",11.0794855476236
100,"x13","ARIMA(3,1,0)","Pearson","RMSE","p1",21.2168565060897
100,"x13","ARIMA(3,1,0)","Pearson","RMSE","p2",15.278907028973
100,"x13","ARIMA(3,1,0)","Pearson","RMSE","p3",9.30591209930547
100,"x14","ARIMA(3,1,0) 
Differentiated","Pearson","RMSE","p1",20.6734128774133
100,"x14","ARIMA(3,1,0) 
Differentiated","Pearson","RMSE","p2",13.6003676420897
100,"x14","ARIMA(3,1,0) 
Differentiated","Pearson","RMSE","p3",8.33876489655393
100,"x2","ARMA(1,3)","Pearson","RMSE","p1",22.3315919719128
100,"x2","ARMA(1,3)","Pearson","RMSE","p2",15.4102238789707
100,"x2","ARMA(1,3)","Pearson","RMSE","p3",10.5945740829917
100,"x3","ARIMA(2,1,1)","Pearson","RMSE","p1",20.8931807056752
100,"x3","ARIMA(2,1,1)","Pearson","RMSE","p2",14.3408507418493
100,"x3","ARIMA(2,1,1)","Pearson","RMSE","p3",9.42576256862011
100,"x4","NLAR(3)","Pearson","RMSE","p1",21.1387085698252
100,"x4","NLAR(3)","Pearson","RMSE","p2",15.4154143635518
100,"x4","NLAR(3)","Pearson","RMSE","p3",10.7522090753482
100,"x5","NLAR(4)","Pearson","RMSE","p1",19.3256306494769
100,"x5","NLAR(4)","Pearson","RMSE","p2",13.3828248139173
100,"x5","NLAR(4)","Pearson","RMSE","p3",9.06393954083984
100,"x6","NLARMA(2,2)","Pearson","RMSE","p1",22.9407933603003
100,"x6","NLARMA(2,2)","Pearson","RMSE","p2",16.658481323338
100,"x6","NLARMA(2,2)","Pearson","RMSE","p3",11.1601971308754
100,"x7","SETAR(2,2,[2])","Pearson","RMSE","p1",20.4714435250668
100,"x7","SETAR(2,2,[2])","Pearson","RMSE","p2",13.9599426932921
100,"x7","SETAR(2,2,[2])","Pearson","RMSE","p3",8.95712007288057
100,"x8","ARIMA(2,1,1) 
Differentiated","Pearson","RMSE","p1",21.2763953713969
100,"x8","ARIMA(2,1,1) 
Differentiated","Pearson","RMSE","p2",14.9015099906016
100,"x8","ARIMA(2,1,1) 
Differentiated","Pearson","RMSE","p3",10.0831542683825
100,"x9","SARIMA(4,0,0) × (2,0,0)[12]","Pearson","RMSE","p1",5.45664732230332
100,"x9","SARIMA(4,0,0) × (2,0,0)[12]","Pearson","RMSE","p2",10.0414142430237
100,"x9","SARIMA(4,0,0) × (2,0,0)[12]","Pearson","RMSE","p3",14.9869943617791
500,"x1","AR(5)","Pearson","RMSE","p1",14.4839566417468
500,"x1","AR(5)","Pearson","RMSE","p2",7.25499827705011
500,"x1","AR(5)","Pearson","RMSE","p3",3.81641192745228
500,"x10","SARIMA(4,0,0) × (2,0,0)[12] 
Additive decomposition","Pearson","RMSE","p1",3.12009615236454
500,"x10","SARIMA(4,0,0) × (2,0,0)[12] 
Additive decomposition","Pearson","RMSE","p2",3.40807863759039
500,"x10","SARIMA(4,0,0) × (2,0,0)[12] 
Additive decomposition","Pearson","RMSE","p3",5.74673820527784
500,"x11","SARIMA(4,0,0) × (2,0,0)[12] 
 Multiplicative decomposition","Pearson","RMSE","p1",15.4748182541831
500,"x11","SARIMA(4,0,0) × (2,0,0)[12] 
 Multiplicative decomposition","Pearson","RMSE","p2",20.9251045397628
500,"x11","SARIMA(4,0,0) × (2,0,0)[12] 
 Multiplicative decomposition","Pearson","RMSE","p3",22.8339659279767
500,"x12","ARMA(1,0,1)-GARCH(1,1)","Pearson","RMSE","p1",17.5272644756676
500,"x12","ARMA(1,0,1)-GARCH(1,1)","Pearson","RMSE","p2",9.36536171218176
500,"x12","ARMA(1,0,1)-GARCH(1,1)","Pearson","RMSE","p3",5.24356748788456
500,"x13","ARIMA(3,1,0)","Pearson","RMSE","p1",16.2851159037939
500,"x13","ARIMA(3,1,0)","Pearson","RMSE","p2",7.57627876995032
500,"x13","ARIMA(3,1,0)","Pearson","RMSE","p3",3.95031644302074
500,"x14","ARIMA(3,1,0) 
Differentiated","Pearson","RMSE","p1",16.0020311210796
500,"x14","ARIMA(3,1,0) 
Differentiated","Pearson","RMSE","p2",7.96868872525461
500,"x14","ARIMA(3,1,0) 
Differentiated","Pearson","RMSE","p3",4.2017853348309
500,"x2","ARMA(1,3)","Pearson","RMSE","p1",16.4593438508344
500,"x2","ARMA(1,3)","Pearson","RMSE","p2",9.31665175908169
500,"x2","ARMA(1,3)","Pearson","RMSE","p3",5.30518614188041
500,"x3","ARIMA(2,1,1)","Pearson","RMSE","p1",16.80907492993
500,"x3","ARIMA(2,1,1)","Pearson","RMSE","p2",9.09780193233508
500,"x3","ARIMA(2,1,1)","Pearson","RMSE","p3",4.66797600679352
500,"x4","NLAR(3)","Pearson","RMSE","p1",16.4625332194046
500,"x4","NLAR(3)","Pearson","RMSE","p2",9.19130023446085
500,"x4","NLAR(3)","Pearson","RMSE","p3",4.59184058956754
500,"x5","NLAR(4)","Pearson","RMSE","p1",15.1464517296956
500,"x5","NLAR(4)","Pearson","RMSE","p2",8.7091905479212
500,"x5","NLAR(4)","Pearson","RMSE","p3",5.03686410378521
500,"x6","NLARMA(2,2)","Pearson","RMSE","p1",18.0506232579377
500,"x6","NLARMA(2,2)","Pearson","RMSE","p2",9.42920993509
500,"x6","NLARMA(2,2)","Pearson","RMSE","p3",4.71805044483418
500,"x7","SETAR(2,2,[2])","Pearson","RMSE","p1",17.2998554907259
500,"x7","SETAR(2,2,[2])","Pearson","RMSE","p2",9.05704145954958
500,"x7","SETAR(2,2,[2])","Pearson","RMSE","p3",5.4
500,"x8","ARIMA(2,1,1) 
Differentiated","Pearson","RMSE","p1",15.7931947369745
500,"x8","ARIMA(2,1,1) 
Differentiated","Pearson","RMSE","p2",9.39015441832561
500,"x8","ARIMA(2,1,1) 
Differentiated","Pearson","RMSE","p3",5.35910440278971
500,"x9","SARIMA(4,0,0) × (2,0,0)[12]","Pearson","RMSE","p1",3.7662979170533
500,"x9","SARIMA(4,0,0) × (2,0,0)[12]","Pearson","RMSE","p2",7.05939090856995
500,"x9","SARIMA(4,0,0) × (2,0,0)[12]","Pearson","RMSE","p3",10.0386752114012
1000,"x1","AR(5)","Pearson","RMSE","p1",14.2460520847005
1000,"x1","AR(5)","Pearson","RMSE","p2",7.45385806143369
1000,"x1","AR(5)","Pearson","RMSE","p3",4.26380112106557
1000,"x10","SARIMA(4,0,0) × (2,0,0)[12] 
Additive decomposition","Pearson","RMSE","p1",3.48425027803687
1000,"x10","SARIMA(4,0,0) × (2,0,0)[12] 
Additive decomposition","Pearson","RMSE","p2",2.4114311103575
1000,"x10","SARIMA(4,0,0) × (2,0,0)[12] 
Additive decomposition","Pearson","RMSE","p3",3.44528663539044
1000,"x11","SARIMA(4,0,0) × (2,0,0)[12] 
 Multiplicative decomposition","Pearson","RMSE","p1",15.9268640981205
1000,"x11","SARIMA(4,0,0) × (2,0,0)[12] 
 Multiplicative decomposition","Pearson","RMSE","p2",21.0691717919808
1000,"x11","SARIMA(4,0,0) × (2,0,0)[12] 
 Multiplicative decomposition","Pearson","RMSE","p3",22.5678975538263
1000,"x12","ARMA(1,0,1)-GARCH(1,1)","Pearson","RMSE","p1",17.262531679913
1000,"x12","ARMA(1,0,1)-GARCH(1,1)","Pearson","RMSE","p2",10.2046558001728
1000,"x12","ARMA(1,0,1)-GARCH(1,1)","Pearson","RMSE","p3",5.31648380040794
1000,"x13","ARIMA(3,1,0)","Pearson","RMSE","p1",16.5909613946872
1000,"x13","ARIMA(3,1,0)","Pearson","RMSE","p2",8.73097932651315
1000,"x13","ARIMA(3,1,0)","Pearson","RMSE","p3",4.9300101419774
1000,"x14","ARIMA(3,1,0) 
Differentiated","Pearson","RMSE","p1",16.7384288390518
1000,"x14","ARIMA(3,1,0) 
Differentiated","Pearson","RMSE","p2",8.82043082847998
1000,"x14","ARIMA(3,1,0) 
Differentiated","Pearson","RMSE","p3",4.89336285186374
1000,"x2","ARMA(1,3)","Pearson","RMSE","p1",17.8068806925862
1000,"x2","ARMA(1,3)","Pearson","RMSE","p2",10.7958325292679
1000,"x2","ARMA(1,3)","Pearson","RMSE","p3",6.39179161112125
1000,"x3","ARIMA(2,1,1)","Pearson","RMSE","p1",16.297085629032
1000,"x3","ARIMA(2,1,1)","Pearson","RMSE","p2",9.17414846184647
1000,"x3","ARIMA(2,1,1)","Pearson","RMSE","p3",4.54422710700071
1000,"x4","NLAR(3)","Pearson","RMSE","p1",15.9332984657917
1000,"x4","NLAR(3)","Pearson","RMSE","p2",8.79829528942965
1000,"x4","NLAR(3)","Pearson","RMSE","p3",4.82441706323158
1000,"x5","NLAR(4)","Pearson","RMSE","p1",14.5904078078716
1000,"x5","NLAR(4)","Pearson","RMSE","p2",7.24844810976805
1000,"x5","NLAR(4)","Pearson","RMSE","p3",4.15632048812408
1000,"x6","NLARMA(2,2)","Pearson","RMSE","p1",16.5292165573569
1000,"x6","NLARMA(2,2)","Pearson","RMSE","p2",8.83119470966415
1000,"x6","NLARMA(2,2)","Pearson","RMSE","p3",4.86518242206806
1000,"x7","SETAR(2,2,[2])","Pearson","RMSE","p1",15.8295609541137
1000,"x7","SETAR(2,2,[2])","Pearson","RMSE","p2",8.25348411278534
1000,"x7","SETAR(2,2,[2])","Pearson","RMSE","p3",3.4416565778706
1000,"x8","ARIMA(2,1,1) 
Differentiated","Pearson","RMSE","p1",16.2408435741497
1000,"x8","ARIMA(2,1,1) 
Differentiated","Pearson","RMSE","p2",8.87411967464942
1000,"x8","ARIMA(2,1,1) 
Differentiated","Pearson","RMSE","p3",4.12976996938086
1000,"x9","SARIMA(4,0,0) × (2,0,0)[12]","Pearson","RMSE","p1",1.75926120857592
1000,"x9","SARIMA(4,0,0) × (2,0,0)[12]","Pearson","RMSE","p2",3.47634865915374
1000,"x9","SARIMA(4,0,0) × (2,0,0)[12]","Pearson","RMSE","p3",7.06009914944542
2000,"x1","AR(5)","Pearson","RMSE","p1",13.8616377098812
2000,"x1","AR(5)","Pearson","RMSE","p2",7.39729680356277
2000,"x1","AR(5)","Pearson","RMSE","p3",3.67219280539571
2000,"x10","SARIMA(4,0,0) × (2,0,0)[12] 
Additive decomposition","Pearson","RMSE","p1",4.23674403286297
2000,"x10","SARIMA(4,0,0) × (2,0,0)[12] 
Additive decomposition","Pearson","RMSE","p2",2.87054001888146
2000,"x10","SARIMA(4,0,0) × (2,0,0)[12] 
Additive decomposition","Pearson","RMSE","p3",1.95576072156079
2000,"x11","SARIMA(4,0,0) × (2,0,0)[12] 
 Multiplicative decomposition","Pearson","RMSE","p1",15.8357191184992
2000,"x11","SARIMA(4,0,0) × (2,0,0)[12] 
 Multiplicative decomposition","Pearson","RMSE","p2",21.3349478555726
2000,"x11","SARIMA(4,0,0) × (2,0,0)[12] 
 Multiplicative decomposition","Pearson","RMSE","p3",23.2370393983399
2000,"x12","ARMA(1,0,1)-GARCH(1,1)","Pearson","RMSE","p1",17.52754974319
2000,"x12","ARMA(1,0,1)-GARCH(1,1)","Pearson","RMSE","p2",10.2520729611138
2000,"x12","ARMA(1,0,1)-GARCH(1,1)","Pearson","RMSE","p3",5.26022813193496
2000,"x13","ARIMA(3,1,0)","Pearson","RMSE","p1",15.5573133927423
2000,"x13","ARIMA(3,1,0)","Pearson","RMSE","p2",8.3916625289629
2000,"x13","ARIMA(3,1,0)","Pearson","RMSE","p3",4.61735855224608
2000,"x14","ARIMA(3,1,0) 
Differentiated","Pearson","RMSE","p1",15.3230218951746
2000,"x14","ARIMA(3,1,0) 
Differentiated","Pearson","RMSE","p2",8.16180127177818
2000,"x14","ARIMA(3,1,0) 
Differentiated","Pearson","RMSE","p3",4.66154480832267
2000,"x2","ARMA(1,3)","Pearson","RMSE","p1",18.0846620095594
2000,"x2","ARMA(1,3)","Pearson","RMSE","p2",10.3805105847449
2000,"x2","ARMA(1,3)","Pearson","RMSE","p3",5.97034337370976
2000,"x3","ARIMA(2,1,1)","Pearson","RMSE","p1",15.939887076137
2000,"x3","ARIMA(2,1,1)","Pearson","RMSE","p2",7.59111322534449
2000,"x3","ARIMA(2,1,1)","Pearson","RMSE","p3",4.0024992192379
2000,"x4","NLAR(3)","Pearson","RMSE","p1",16.4887840667528
2000,"x4","NLAR(3)","Pearson","RMSE","p2",8.66025403784439
2000,"x4","NLAR(3)","Pearson","RMSE","p3",4.10304764778573
2000,"x5","NLAR(4)","Pearson","RMSE","p1",15.0590504348714
2000,"x5","NLAR(4)","Pearson","RMSE","p2",7.20555341386073
2000,"x5","NLAR(4)","Pearson","RMSE","p3",3.23728281124773
2000,"x6","NLARMA(2,2)","Pearson","RMSE","p1",15.6721089837967
2000,"x6","NLARMA(2,2)","Pearson","RMSE","p2",8.67323469070219
2000,"x6","NLARMA(2,2)","Pearson","RMSE","p3",4.55027471698138
2000,"x7","SETAR(2,2,[2])","Pearson","RMSE","p1",15.6529549925885
2000,"x7","SETAR(2,2,[2])","Pearson","RMSE","p2",7.93725393319377
2000,"x7","SETAR(2,2,[2])","Pearson","RMSE","p3",3.49714169000914
2000,"x8","ARIMA(2,1,1) 
Differentiated","Pearson","RMSE","p1",16.2255970614335
2000,"x8","ARIMA(2,1,1) 
Differentiated","Pearson","RMSE","p2",8.52085676443396
2000,"x8","ARIMA(2,1,1) 
Differentiated","Pearson","RMSE","p3",4.08289113251872
2000,"x9","SARIMA(4,0,0) × (2,0,0)[12]","Pearson","RMSE","p1",1.60312195418814
2000,"x9","SARIMA(4,0,0) × (2,0,0)[12]","Pearson","RMSE","p2",1.49331845230681
2000,"x9","SARIMA(4,0,0) × (2,0,0)[12]","Pearson","RMSE","p3",3.80065783779598
5000,"x1","AR(5)","Pearson","RMSE","p1",15.7307024636537
5000,"x1","AR(5)","Pearson","RMSE","p2",8.28130424510536
5000,"x1","AR(5)","Pearson","RMSE","p3",4.82907858705985
5000,"x10","SARIMA(4,0,0) × (2,0,0)[12] 
Additive decomposition","Pearson","RMSE","p1",6.81102048154313
5000,"x10","SARIMA(4,0,0) × (2,0,0)[12] 
Additive decomposition","Pearson","RMSE","p2",5.5937465083788
5000,"x10","SARIMA(4,0,0) × (2,0,0)[12] 
Additive decomposition","Pearson","RMSE","p3",4.42323411091929
5000,"x11","SARIMA(4,0,0) × (2,0,0)[12] 
 Multiplicative decomposition","Pearson","RMSE","p1",16.8825353546202
5000,"x11","SARIMA(4,0,0) × (2,0,0)[12] 
 Multiplicative decomposition","Pearson","RMSE","p2",22.2174480982853
5000,"x11","SARIMA(4,0,0) × (2,0,0)[12] 
 Multiplicative decomposition","Pearson","RMSE","p3",23.3248794209102
5000,"x12","ARMA(1,0,1)-GARCH(1,1)","Pearson","RMSE","p1",19.3366232832933
5000,"x12","ARMA(1,0,1)-GARCH(1,1)","Pearson","RMSE","p2",11.0691011378522
5000,"x12","ARMA(1,0,1)-GARCH(1,1)","Pearson","RMSE","p3",6.16198020120156
5000,"x13","ARIMA(3,1,0)","Pearson","RMSE","p1",17.5231275747225
5000,"x13","ARIMA(3,1,0)","Pearson","RMSE","p2",9.65323779879062
5000,"x13","ARIMA(3,1,0)","Pearson","RMSE","p3",4.48720402923691
5000,"x14","ARIMA(3,1,0) 
Differentiated","Pearson","RMSE","p1",17.3893645657338
5000,"x14","ARIMA(3,1,0) 
Differentiated","Pearson","RMSE","p2",9.76191579558029
5000,"x14","ARIMA(3,1,0) 
Differentiated","Pearson","RMSE","p3",5.22158979622107
5000,"x2","ARMA(1,3)","Pearson","RMSE","p1",20.0424549394529
5000,"x2","ARMA(1,3)","Pearson","RMSE","p2",13.3403523191856
5000,"x2","ARMA(1,3)","Pearson","RMSE","p3",7.94480962641648
5000,"x3","ARIMA(2,1,1)","Pearson","RMSE","p1",18.1293960186213
5000,"x3","ARIMA(2,1,1)","Pearson","RMSE","p2",9.72728122344574
5000,"x3","ARIMA(2,1,1)","Pearson","RMSE","p3",5.32822672190289
5000,"x4","NLAR(3)","Pearson","RMSE","p1",16.6412138980304
5000,"x4","NLAR(3)","Pearson","RMSE","p2",8.91767907025141
5000,"x4","NLAR(3)","Pearson","RMSE","p3",4.38406204335659
5000,"x5","NLAR(4)","Pearson","RMSE","p1",17.0326157709261
5000,"x5","NLAR(4)","Pearson","RMSE","p2",9.41886405040438
5000,"x5","NLAR(4)","Pearson","RMSE","p3",5.27114788257738
5000,"x6","NLARMA(2,2)","Pearson","RMSE","p1",18.5755215269989
5000,"x6","NLARMA(2,2)","Pearson","RMSE","p2",10.6110791157167
5000,"x6","NLARMA(2,2)","Pearson","RMSE","p3",5.29339210714642
5000,"x7","SETAR(2,2,[2])","Pearson","RMSE","p1",18.7227134785533
5000,"x7","SETAR(2,2,[2])","Pearson","RMSE","p2",10.3145528259833
5000,"x7","SETAR(2,2,[2])","Pearson","RMSE","p3",4.45028089001133
5000,"x8","ARIMA(2,1,1) 
Differentiated","Pearson","RMSE","p1",17.6469544114558
5000,"x8","ARIMA(2,1,1) 
Differentiated","Pearson","RMSE","p2",9.31020944984591
5000,"x8","ARIMA(2,1,1) 
Differentiated","Pearson","RMSE","p3",3.90640499692492
5000,"x9","SARIMA(4,0,0) × (2,0,0)[12]","Pearson","RMSE","p1",2.71016604657353
5000,"x9","SARIMA(4,0,0) × (2,0,0)[12]","Pearson","RMSE","p2",1.14455231422596
5000,"x9","SARIMA(4,0,0) × (2,0,0)[12]","Pearson","RMSE","p3",1.55080624192708
100,"x1","AR(5)","Spearman","RMSE","p1",18.6975934280324
100,"x1","AR(5)","Spearman","RMSE","p2",13.3180328877804
100,"x1","AR(5)","Spearman","RMSE","p3",8.74213932627478
100,"x10","SARIMA(4,0,0) × (2,0,0)[12] 
Additive decomposition","Spearman","RMSE","p1",4.47883913531174
100,"x10","SARIMA(4,0,0) × (2,0,0)[12] 
Additive decomposition","Spearman","RMSE","p2",8.16639455328972
100,"x10","SARIMA(4,0,0) × (2,0,0)[12] 
Additive decomposition","Spearman","RMSE","p3",12.5741798937346
100,"x11","SARIMA(4,0,0) × (2,0,0)[12] 
 Multiplicative decomposition","Spearman","RMSE","p1",8.75699720223776
100,"x11","SARIMA(4,0,0) × (2,0,0)[12] 
 Multiplicative decomposition","Spearman","RMSE","p2",14.7285437161995
100,"x11","SARIMA(4,0,0) × (2,0,0)[12] 
 Multiplicative decomposition","Spearman","RMSE","p3",18.6950528215354
100,"x12","ARMA(1,0,1)-GARCH(1,1)","Spearman","RMSE","p1",22.6264226072086
100,"x12","ARMA(1,0,1)-GARCH(1,1)","Spearman","RMSE","p2",15.4975804563164
100,"x12","ARMA(1,0,1)-GARCH(1,1)","Spearman","RMSE","p3",10.034689830782
100,"x13","ARIMA(3,1,0)","Spearman","RMSE","p1",20.8689961426035
100,"x13","ARIMA(3,1,0)","Spearman","RMSE","p2",14.2374506144885
100,"x13","ARIMA(3,1,0)","Spearman","RMSE","p3",9.08157475331233
100,"x14","ARIMA(3,1,0) 
Differentiated","Spearman","RMSE","p1",20.4718098857917
100,"x14","ARIMA(3,1,0) 
Differentiated","Spearman","RMSE","p2",13.9724729378876
100,"x14","ARIMA(3,1,0) 
Differentiated","Spearman","RMSE","p3",9.1192104921424
100,"x2","ARMA(1,3)","Spearman","RMSE","p1",22.5
100,"x2","ARMA(1,3)","Spearman","RMSE","p2",15.2924818129694
100,"x2","ARMA(1,3)","Spearman","RMSE","p3",9.8666103601997
100,"x3","ARIMA(2,1,1)","Spearman","RMSE","p1",21.365509589055
100,"x3","ARIMA(2,1,1)","Spearman","RMSE","p2",15.3661966667097
100,"x3","ARIMA(2,1,1)","Spearman","RMSE","p3",10.5955179203284
100,"x4","NLAR(3)","Spearman","RMSE","p1",21.148404195116
100,"x4","NLAR(3)","Spearman","RMSE","p2",15.0550655926834
100,"x4","NLAR(3)","Spearman","RMSE","p3",9.61041102138717
100,"x5","NLAR(4)","Spearman","RMSE","p1",18.6180020410354
100,"x5","NLAR(4)","Spearman","RMSE","p2",13.1009541637241
100,"x5","NLAR(4)","Spearman","RMSE","p3",8.91319246959247
100,"x6","NLARMA(2,2)","Spearman","RMSE","p1",21.1799433427004
100,"x6","NLARMA(2,2)","Spearman","RMSE","p2",14.6894519979474
100,"x6","NLARMA(2,2)","Spearman","RMSE","p3",9.38456179051531
100,"x7","SETAR(2,2,[2])","Spearman","RMSE","p1",20.8469422218224
100,"x7","SETAR(2,2,[2])","Spearman","RMSE","p2",14.0648498036772
100,"x7","SETAR(2,2,[2])","Spearman","RMSE","p3",9.13947482079796
100,"x8","ARIMA(2,1,1) 
Differentiated","Spearman","RMSE","p1",22.1368471106434
100,"x8","ARIMA(2,1,1) 
Differentiated","Spearman","RMSE","p2",15.7154382694216
100,"x8","ARIMA(2,1,1) 
Differentiated","Spearman","RMSE","p3",9.68658866681145
100,"x9","SARIMA(4,0,0) × (2,0,0)[12]","Spearman","RMSE","p1",6.11637147334921
100,"x9","SARIMA(4,0,0) × (2,0,0)[12]","Spearman","RMSE","p2",10.9045861911399
100,"x9","SARIMA(4,0,0) × (2,0,0)[12]","Spearman","RMSE","p3",15.7084372233523
500,"x1","AR(5)","Spearman","RMSE","p1",14.9035230734213
500,"x1","AR(5)","Spearman","RMSE","p2",7.81696872195354
500,"x1","AR(5)","Spearman","RMSE","p3",4.83683780997461
